year,company,patent_count
2018,"SAMSUNG ELECTRONICS CO., LTD.",94
2018,"LG CHEM, LTD.",56
2018,TOYOTA JIDOSHA KABUSHIKI KAISHA,55
2018,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",11
2019,"SAMSUNG ELECTRONICS CO., LTD.",110
2019,TOYOTA JIDOSHA KABUSHIKI KAISHA,70
2019,"LG CHEM, LTD.",67
2019,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",8
2020,"SAMSUNG ELECTRONICS CO., LTD.",92
2020,"LG CHEM, LTD.",61
2020,TOYOTA JIDOSHA KABUSHIKI KAISHA,57
2020,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",17
2021,"SAMSUNG ELECTRONICS CO., LTD.",72
2021,TOYOTA JIDOSHA KABUSHIKI KAISHA,55
2021,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",40
2021,"LG CHEM, LTD.",39
2022,"SAMSUNG ELECTRONICS CO., LTD.",87
2022,TOYOTA JIDOSHA KABUSHIKI KAISHA,43
2022,"LG ENERGY SOLUTION, LTD.",41
2022,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",36
2022,"LG CHEM, LTD.",9
2023,"SAMSUNG ELECTRONICS CO., LTD.",89
2023,TOYOTA JIDOSHA KABUSHIKI KAISHA,37
2023,"LG ENERGY SOLUTION, LTD.",35
2023,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",34
2023,"LG CHEM, LTD.",1
2024,"LG ENERGY SOLUTION, LTD.",51
2024,"SAMSUNG ELECTRONICS CO., LTD.",50
2024,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",39
2024,TOYOTA JIDOSHA KABUSHIKI KAISHA,25
2024,"LG CHEM, LTD.",3
